proprietaryname,proprietarynamesuffix,nonproprietaryname,dosageformname,routename,startmarketingdate,endmarketingdate,substancename,active_numerator_strength,active_ingred_unit,pharm_classes
Advicor,,niacin and lovastatin,"TABLET, EXTENDED RELEASE",ORAL,20011217,,LOVASTATIN; NIACIN,40; 1000,mg/1; mg/1,"Nicotinic Acid [EPC],Nicotinic Acids [Chemical/Ingredient],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
Duopa,,Carbidopa and Levodopa,SUSPENSION,ENTERAL,20150115,,CARBIDOPA; LEVODOPA,4.63; 20,mg/mL; mg/mL,"Aromatic Amino Acid Decarboxylation Inhibitor [EPC],DOPA Decarboxylase Inhibitors [MoA]"
Teveten HCT,,Eprosartan Mesylate and Hydrochlorothiazide,TABLET,ORAL,20100524,,EPROSARTAN MESYLATE; HYDROCHLOROTHIAZIDE,600; 12.5,mg/1; mg/1,"Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC],Increased Diuresis [PE],Thiazide Diuretic [EPC],Thiazides [Chemical/Ingredient]"
Teveten HCT,,Eprosartan Mesylate and Hydrochlorothiazide,TABLET,ORAL,20100524,,EPROSARTAN MESYLATE; HYDROCHLOROTHIAZIDE,600; 25,mg/1; mg/1,"Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC],Increased Diuresis [PE],Thiazide Diuretic [EPC],Thiazides [Chemical/Ingredient]"
K-Tab,,Potassium Chloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,19800609,,POTASSIUM CHLORIDE,1500,mg/1,"Potassium Compounds [Chemical/Ingredient],Potassium Salt [EPC]"
Teveten,,Eprosartan Mesylate,TABLET,ORAL,20100524,,EPROSARTAN MESYLATE,400,mg/1,"Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"
Teveten,,Eprosartan Mesylate,TABLET,ORAL,20100524,,EPROSARTAN MESYLATE,600,mg/1,"Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]"
Vicodin,,Hydrocodone Bitartrate and Acetaminophen,TABLET,ORAL,20120910,,ACETAMINOPHEN; HYDROCODONE BITARTRATE,300; 5,mg/1; mg/1,"Opioid Agonist [EPC],Opioid Agonists [MoA]"
Vicodin ES,,Hydrocodone Bitartrate and Acetaminophen,TABLET,ORAL,20120910,,ACETAMINOPHEN; HYDROCODONE BITARTRATE,300; 7.5,mg/1; mg/1,"Opioid Agonist [EPC],Opioid Agonists [MoA]"
Cardizem LA,,Diltiazem Hydrochloride,"TABLET, EXTENDED RELEASE",ORAL,20101225,,DILTIAZEM HYDROCHLORIDE,120,mg/1,"Calcium Channel Antagonists [MoA],Calcium Channel Blocker [EPC]"
Vicodin HP,,Hydrocodone Bitartrate and Acetaminophen,TABLET,ORAL,20120910,,ACETAMINOPHEN; HYDROCODONE BITARTRATE,300; 10,mg/1; mg/1,"Opioid Agonist [EPC],Opioid Agonists [MoA]"
K-Tab,,Potassium Chloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,19800609,,POTASSIUM CHLORIDE,600,mg/1,"Potassium Compounds [Chemical/Ingredient],Potassium Salt [EPC]"
Cardizem LA,,Diltiazem Hydrochloride,"TABLET, EXTENDED RELEASE",ORAL,20101225,,DILTIAZEM HYDROCHLORIDE,180,mg/1,"Calcium Channel Antagonists [MoA],Calcium Channel Blocker [EPC]"
Cardizem LA,,Diltiazem Hydrochloride,"TABLET, EXTENDED RELEASE",ORAL,20101225,,DILTIAZEM HYDROCHLORIDE,240,mg/1,"Calcium Channel Antagonists [MoA],Calcium Channel Blocker [EPC]"
Cardizem LA,,Diltiazem Hydrochloride,"TABLET, EXTENDED RELEASE",ORAL,20101225,,DILTIAZEM HYDROCHLORIDE,300,mg/1,"Calcium Channel Antagonists [MoA],Calcium Channel Blocker [EPC]"
Cardizem LA,,Diltiazem Hydrochloride,"TABLET, EXTENDED RELEASE",ORAL,20101225,,DILTIAZEM HYDROCHLORIDE,360,mg/1,"Calcium Channel Antagonists [MoA],Calcium Channel Blocker [EPC]"
Cardizem LA,,Diltiazem Hydrochloride,"TABLET, EXTENDED RELEASE",ORAL,20101225,,DILTIAZEM HYDROCHLORIDE,420,mg/1,"Calcium Channel Antagonists [MoA],Calcium Channel Blocker [EPC]"
Advicor,,niacin and lovastatin,"TABLET, EXTENDED RELEASE",ORAL,20011217,,LOVASTATIN; NIACIN,20; 750,mg/1; mg/1,"Nicotinic Acid [EPC],Nicotinic Acids [Chemical/Ingredient],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
Niaspan,,Niacin,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20100629,,NIACIN,500,mg/1,"Nicotinic Acid [EPC],Nicotinic Acids [Chemical/Ingredient]"
Niaspan,,Niacin,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,19970728,,NIACIN,750,mg/1,"Nicotinic Acid [EPC],Nicotinic Acids [Chemical/Ingredient]"
Niaspan,,Niacin,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,19970728,,NIACIN,1000,mg/1,"Nicotinic Acid [EPC],Nicotinic Acids [Chemical/Ingredient]"
Viekira Pak,,Dasabuvir and Ombitasvir and Paritaprevir and Ritonavir,KIT,,20141219,,,,,
Biaxin,,Clarithromycin,"GRANULE, FOR SUSPENSION",ORAL,19931223,,CLARITHROMYCIN,125,mg/5mL,"Macrolide Antimicrobial [EPC],Macrolides [Chemical/Ingredient],Cytochrome P450 3A4 Inhibitors [MoA],Cytochrome P450 3A Inhibitors [MoA],P-Glycoprotein Inhibitors [MoA]"
Biaxin,,Clarithromycin,"GRANULE, FOR SUSPENSION",ORAL,19931223,,CLARITHROMYCIN,250,mg/5mL,"Macrolide Antimicrobial [EPC],Macrolides [Chemical/Ingredient],Cytochrome P450 3A4 Inhibitors [MoA],Cytochrome P450 3A Inhibitors [MoA],P-Glycoprotein Inhibitors [MoA]"
Moderiba,,Ribavirin,"TABLET, FILM COATED",ORAL,20140120,,RIBAVIRIN,200,mg/1,"Nucleoside Analog [Chemical/Ingredient],Nucleoside Analog Antiviral [EPC]"
Moderiba,,Ribavirin,KIT,,20140120,,,,,
Moderiba,,Ribavirin,"TABLET, FILM COATED",ORAL,20140120,,RIBAVIRIN,400,mg/1,"Nucleoside Analog [Chemical/Ingredient],Nucleoside Analog Antiviral [EPC]"
Moderiba,,Ribavirin,KIT,,20140120,,,,,
Moderiba,,Ribavirin,"TABLET, FILM COATED",ORAL,20140120,,RIBAVIRIN,600,mg/1,"Nucleoside Analog [Chemical/Ingredient],Nucleoside Analog Antiviral [EPC]"
Tarka,,Trandolapril and Verapamil Hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,19961022,,TRANDOLAPRIL; VERAPAMIL HYDROCHLORIDE,2; 180,mg/1; mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA],Calcium Channel Antagonists [MoA],Calcium Channel Blocker [EPC]"
Tarka,,Trandolapril and Verapamil Hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,19961022,,TRANDOLAPRIL; VERAPAMIL HYDROCHLORIDE,1; 240,mg/1; mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA],Calcium Channel Antagonists [MoA],Calcium Channel Blocker [EPC]"
Tarka,,Trandolapril and Verapamil Hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,19961022,,TRANDOLAPRIL; VERAPAMIL HYDROCHLORIDE,2; 240,mg/1; mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA],Calcium Channel Antagonists [MoA],Calcium Channel Blocker [EPC]"
Tarka,,Trandolapril and Verapamil Hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,19961022,,TRANDOLAPRIL; VERAPAMIL HYDROCHLORIDE,4; 240,mg/1; mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA],Calcium Channel Antagonists [MoA],Calcium Channel Blocker [EPC]"
Simcor,,Niacin and Simvastatin,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20080215,,NIACIN; SIMVASTATIN,500; 20,mg/1; mg/1,"Nicotinic Acid [EPC],Nicotinic Acids [Chemical/Ingredient],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
Simcor,,Niacin and Simvastatin,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20080215,,NIACIN; SIMVASTATIN,750; 20,mg/1; mg/1,"Nicotinic Acid [EPC],Nicotinic Acids [Chemical/Ingredient],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
Norvir,,Ritonavir,"TABLET, FILM COATED",ORAL,20100506,,RITONAVIR,100,mg/1,"HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC],Cytochrome P450 3A Inhibitors [MoA],Cytochrome P450 2D6 Inhibitors [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],P-Glycoprotein Inhibitors [MoA]"
Lupron Depot,,leuprolide acetate,KIT,,19951222,,,,,
Biaxin,,Clarithromycin,"TABLET, FILM COATED",ORAL,19911031,,CLARITHROMYCIN,250,mg/1,"Macrolide Antimicrobial [EPC],Macrolides [Chemical/Ingredient],Cytochrome P450 3A4 Inhibitors [MoA],Cytochrome P450 3A Inhibitors [MoA],P-Glycoprotein Inhibitors [MoA]"
Simcor,,Niacin and Simvastatin,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20110127,,NIACIN; SIMVASTATIN,1000; 20,mg/1; mg/1,"Nicotinic Acid [EPC],Nicotinic Acids [Chemical/Ingredient],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
Simcor,,Niacin and Simvastatin,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20100806,,NIACIN; SIMVASTATIN,1000; 40,mg/1; mg/1,"Nicotinic Acid [EPC],Nicotinic Acids [Chemical/Ingredient],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
Simcor,,Niacin and Simvastatin,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20100806,,NIACIN; SIMVASTATIN,500; 40,mg/1; mg/1,"Nicotinic Acid [EPC],Nicotinic Acids [Chemical/Ingredient],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
Lupron Depot,,leuprolide acetate,KIT,,19951222,,,,,
Lupron Depot,,leuprolide acetate,KIT,,19901022,,,,,
Lupron Depot,,leuprolide acetate,KIT,,19890126,,,,,
Lupron Depot,,leuprolide acetate,KIT,,20101108,,,,,
Lupron Depot,,leuprolide acetate,KIT,,19951222,,,,,
Synthroid,,Levothyroxine Sodium,TABLET,ORAL,20020724,,LEVOTHYROXINE SODIUM,137,ug/1,"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"
Tridione,,Trimethadione,"TABLET, CHEWABLE",ORAL,19460125,,TRIMETHADIONE,150,mg/1,"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE]"
Lupron Depot-PED,,leuprolide acetate,KIT,,19930416,,,,,
Humira,,Adalimumab,"INJECTION, SOLUTION",SUBCUTANEOUS,20021230,,ADALIMUMAB,40,mg/.8mL,"Tumor Necrosis Factor Blocker [EPC],Tumor Necrosis Factor Receptor Blocking Activity [MoA]"
Humira,,Adalimumab,KIT,,20110405,,,,,
Depakote,ER,Divalproex Sodium,"TABLET, EXTENDED RELEASE",ORAL,20000804,,DIVALPROEX SODIUM,250,mg/1,"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"
Kaletra,,Lopinavir and Ritonavir,SOLUTION,ORAL,20100618,,LOPINAVIR; RITONAVIR,80; 20,mg/mL; mg/mL,"HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC],P-Glycoprotein Inhibitors [MoA],Cytochrome P450 3A Inhibitors [MoA],HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC],Cytochrome P450 3A Inhibitors [MoA],Cytochrome P450 2D6 Inhibitors [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],P-Glycoprotein Inhibitors [MoA]"
Zemplar,,Paricalcitol,"CAPSULE, LIQUID FILLED",ORAL,20100614,,PARICALCITOL,2,ug/1,"Cholecalciferol [Chemical/Ingredient],Vitamin D3 Analog [EPC]"
Zemplar,,Paricalcitol,"CAPSULE, LIQUID FILLED",ORAL,20100614,,PARICALCITOL,4,ug/1,"Cholecalciferol [Chemical/Ingredient],Vitamin D3 Analog [EPC]"
Zemplar,,Paricalcitol,"CAPSULE, LIQUID FILLED",ORAL,20100614,,PARICALCITOL,1,ug/1,"Cholecalciferol [Chemical/Ingredient],Vitamin D3 Analog [EPC]"
Humira,,Adalimumab,KIT,,20110405,,,,,
Synthroid,,Levothyroxine Sodium,TABLET,ORAL,20020724,,LEVOTHYROXINE SODIUM,25,ug/1,"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"
Mivacron,,Mivacurium Chloride,SOLUTION,INTRAVENOUS,20150130,,MIVACURIUM CHLORIDE,2,mg/mL,
Nimbex,,Cisatracurium besylate,INJECTION,INTRAVENOUS,20101209,,CISATRACURIUM BESYLATE,2,mg/mL,"Neuromuscular Nondepolarizing Blockade [PE],Nondepolarizing Neuromuscular Blocker [EPC]"
Nimbex,,Cisatracurium Besylate,INJECTION,INTRAVENOUS,20101209,,CISATRACURIUM BESYLATE,2,mg/mL,"Neuromuscular Nondepolarizing Blockade [PE],Nondepolarizing Neuromuscular Blocker [EPC]"
Nimbex,,Cisatracurium Besylate,INJECTION,INTRAVENOUS,19951215,,CISATRACURIUM BESYLATE,10,mg/mL,"Neuromuscular Nondepolarizing Blockade [PE],Nondepolarizing Neuromuscular Blocker [EPC]"
Ultane,,Sevoflurane,LIQUID,RESPIRATORY (INHALATION),19950607,,SEVOFLURANE,250,mL/250mL,"General Anesthesia [PE],General Anesthetic [EPC]"
Ultane,,Sevoflurane,LIQUID,RESPIRATORY (INHALATION),19950607,,SEVOFLURANE,250,mL/250mL,"General Anesthesia [PE],General Anesthetic [EPC]"
Synthroid,,Levothyroxine Sodium,TABLET,ORAL,20020724,,LEVOTHYROXINE SODIUM,50,ug/1,"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"
Zemplar,,Paricalcitol,"INJECTION, SOLUTION",INTRAVENOUS,19980417,,PARICALCITOL,2,ug/mL,"Cholecalciferol [Chemical/Ingredient],Vitamin D3 Analog [EPC]"
Synthroid,,Levothyroxine Sodium,TABLET,ORAL,20020724,,LEVOTHYROXINE SODIUM,75,ug/1,"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"
Depakene,,Valproic Acid,"CAPSULE, LIQUID FILLED",ORAL,19780228,,VALPROIC ACID,250,mg/1,"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"
Depakene,,Valproic Acid,SOLUTION,ORAL,19780228,,VALPROIC ACID,250,mg/5mL,"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"
Depakote,Sprinkles,Divalproex Sodium,CAPSULE,ORAL,19890912,,DIVALPROEX SODIUM,125,mg/1,"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"
Tricor,,Fenofibrate,TABLET,ORAL,20041105,,FENOFIBRATE,48,mg/1,"Peroxisome Proliferator Receptor alpha Agonist [EPC],Peroxisome Proliferator-activated Receptor alpha Agonists [MoA],PPAR alpha [Chemical/Ingredient]"
Tricor,,Fenofibrate,TABLET,ORAL,20041105,,FENOFIBRATE,145,mg/1,"Peroxisome Proliferator Receptor alpha Agonist [EPC],Peroxisome Proliferator-activated Receptor alpha Agonists [MoA],PPAR alpha [Chemical/Ingredient]"
Depakote,,Divalproex Sodium,"TABLET, DELAYED RELEASE",ORAL,19830310,,DIVALPROEX SODIUM,125,mg/1,"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"
Depakote,,Divalproex Sodium,"TABLET, DELAYED RELEASE",ORAL,19830310,,DIVALPROEX SODIUM,250,mg/1,"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"
Depakote,,Divalproex Sodium,"TABLET, DELAYED RELEASE",ORAL,19830310,,DIVALPROEX SODIUM,500,mg/1,"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"
Erythrocin Stearate,,Erythromycin Stearate,"TABLET, FILM COATED",ORAL,19640624,,ERYTHROMYCIN STEARATE,500,mg/1,"Decreased Sebaceous Gland Activity [PE],Macrolide [EPC],Macrolide Antimicrobial [EPC],Macrolides [Chemical/Ingredient]"
Humira,,Adalimumab,KIT,,20140923,,,,,
Gengraf,,Cyclosporine,CAPSULE,ORAL,20100524,,CYCLOSPORINE,25,mg/1,"Calcineurin Inhibitor Immunosuppressant [EPC],Calcineurin Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA],P-Glycoprotein Inhibitors [MoA]"
Gengraf,,Cyclosporine,CAPSULE,ORAL,20100524,,CYCLOSPORINE,100,mg/1,"Calcineurin Inhibitor Immunosuppressant [EPC],Calcineurin Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA],P-Glycoprotein Inhibitors [MoA]"
Synthroid,,Levothyroxine Sodium,TABLET,ORAL,20020724,,LEVOTHYROXINE SODIUM,88,ug/1,"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"
Synthroid,,Levothyroxine Sodium,TABLET,ORAL,20020724,,LEVOTHYROXINE SODIUM,100,ug/1,"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"
Norvir,,Ritonavir,CAPSULE,ORAL,20100506,,RITONAVIR,100,mg/1,"HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC],Cytochrome P450 3A Inhibitors [MoA],Cytochrome P450 2D6 Inhibitors [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],P-Glycoprotein Inhibitors [MoA]"
Kaletra,,Lopinavir and Ritonavir,"TABLET, FILM COATED",ORAL,20100618,,LOPINAVIR; RITONAVIR,200; 50,mg/1; mg/1,"HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC],P-Glycoprotein Inhibitors [MoA],Cytochrome P450 3A Inhibitors [MoA],HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC],Cytochrome P450 3A Inhibitors [MoA],Cytochrome P450 2D6 Inhibitors [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],P-Glycoprotein Inhibitors [MoA]"
Synthroid,,Levothyroxine Sodium,TABLET,ORAL,20020724,,LEVOTHYROXINE SODIUM,125,ug/1,"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"
Synthroid,,Levothyroxine Sodium,TABLET,ORAL,20020724,,LEVOTHYROXINE SODIUM,150,ug/1,"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"
Synthroid,,Levothyroxine Sodium,TABLET,ORAL,20020724,,LEVOTHYROXINE SODIUM,175,ug/1,"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"
Depakote,ER,Divalproex Sodium,"TABLET, EXTENDED RELEASE",ORAL,20000804,,DIVALPROEX SODIUM,500,mg/1,"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"
Synthroid,,Levothyroxine Sodium,TABLET,ORAL,20020224,,LEVOTHYROXINE SODIUM,200,ug/1,"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"
Synthroid,,Levothyroxine Sodium,TABLET,ORAL,20020724,,LEVOTHYROXINE SODIUM,300,ug/1,"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"
Gengraf,,Cyclosporine,SOLUTION,ORAL,20100525,,CYCLOSPORINE,100,mg/mL,"Calcineurin Inhibitor Immunosuppressant [EPC],Calcineurin Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA],P-Glycoprotein Inhibitors [MoA]"
K-Tab,,Potassium Chloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,19800609,,POTASSIUM CHLORIDE,750,mg/1,"Potassium Compounds [Chemical/Ingredient],Potassium Salt [EPC]"
Calcijex,,Calcitriol,"INJECTION, SOLUTION",INTRAVENOUS,20100601,,CALCITRIOL,1,ug/mL,"Cholecalciferol [Chemical/Ingredient],Vitamin D3 Analog [EPC]"
Trilipix,,Fenofibric Acid,"CAPSULE, DELAYED RELEASE",ORAL,20081215,,FENOFIBRIC ACID,135,mg/1,Peroxisome Proliferator Receptor alpha Agonist [EPC]
Synthroid,,Levothyroxine Sodium,TABLET,ORAL,20020724,,LEVOTHYROXINE SODIUM,112,ug/1,"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"
Humira,,Adalimumab,KIT,,20110405,,,,,
Trilipix,,Fenofibric Acid,"CAPSULE, DELAYED RELEASE",ORAL,20081215,,FENOFIBRIC ACID,45,mg/1,Peroxisome Proliferator Receptor alpha Agonist [EPC]
Lupron Depot-PED,,leuprolide acetate,KIT,,19930416,,,,,
DDAVP,,Desmopressin Acetate,TABLET,ORAL,19950906,,DESMOPRESSIN ACETATE,0.1,mg/1,"Factor VIII Activator [EPC],Increased Coagulation Factor VIII Activity [PE],Increased Coagulation Factor VIII Concentration [PE],Vasopressin Analog [EPC],Vasopressins [Chemical/Ingredient]"
DDAVP,,Desmopressin Acetate,TABLET,ORAL,19950906,,DESMOPRESSIN ACETATE,0.2,mg/1,"Factor VIII Activator [EPC],Increased Coagulation Factor VIII Activity [PE],Increased Coagulation Factor VIII Concentration [PE],Vasopressin Analog [EPC],Vasopressins [Chemical/Ingredient]"
Lovenox,,enoxaparin sodium,INJECTION,INTRAVENOUS; SUBCUTANEOUS,20080312,,ENOXAPARIN SODIUM,40,mg/.4mL,"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"
Lovenox,,enoxaparin sodium,INJECTION,INTRAVENOUS; SUBCUTANEOUS,19930329,,ENOXAPARIN SODIUM,40,mg/.4mL,"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"
Lovenox,,enoxaparin sodium,INJECTION,INTRAVENOUS; SUBCUTANEOUS,20080417,,ENOXAPARIN SODIUM,60,mg/.6mL,"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"
Lovenox,,enoxaparin sodium,INJECTION,INTRAVENOUS; SUBCUTANEOUS,19930329,,ENOXAPARIN SODIUM,60,mg/.6mL,"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"
Lovenox,,enoxaparin sodium,INJECTION,INTRAVENOUS; SUBCUTANEOUS,20080421,,ENOXAPARIN SODIUM,80,mg/.8mL,"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"
Lovenox,,enoxaparin sodium,INJECTION,INTRAVENOUS; SUBCUTANEOUS,19930329,,ENOXAPARIN SODIUM,80,mg/.8mL,"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"
Lovenox,,enoxaparin sodium,INJECTION,INTRAVENOUS; SUBCUTANEOUS,20080421,,ENOXAPARIN SODIUM,100,mg/mL,"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"
Lovenox,,enoxaparin sodium,INJECTION,INTRAVENOUS; SUBCUTANEOUS,19930329,,ENOXAPARIN SODIUM,100,mg/mL,"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"
Lovenox,,enoxaparin sodium,INJECTION,INTRAVENOUS; SUBCUTANEOUS,20080312,,ENOXAPARIN SODIUM,30,mg/.3mL,"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"
Lovenox,,enoxaparin sodium,INJECTION,INTRAVENOUS; SUBCUTANEOUS,19930329,,ENOXAPARIN SODIUM,30,mg/.3mL,"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"
Lovenox,,enoxaparin sodium,INJECTION,INTRAVENOUS; SUBCUTANEOUS,20080421,,ENOXAPARIN SODIUM,300,mg/3mL,"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"
Lovenox,,enoxaparin sodium,INJECTION,INTRAVENOUS; SUBCUTANEOUS,19930329,,ENOXAPARIN SODIUM,300,mg/3mL,"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"
NASACORT AQ,,triamcinolone acetonide,"SPRAY, METERED",NASAL,19960520,,TRIAMCINOLONE ACETONIDE,55,ug/1,
DDAVP,Rhinal Tube,Desmopressin Acetate,SOLUTION,NASAL,19780221,,DESMOPRESSIN ACETATE,0.1,mg/mL,"Factor VIII Activator [EPC],Increased Coagulation Factor VIII Activity [PE],Increased Coagulation Factor VIII Concentration [PE],Vasopressin Analog [EPC],Vasopressins [Chemical/Ingredient]"
DDAVP,,desmopressin acetate,SOLUTION,INTRAVENOUS,19840330,,DESMOPRESSIN ACETATE,4,ug/mL,"Factor VIII Activator [EPC],Increased Coagulation Factor VIII Activity [PE],Increased Coagulation Factor VIII Concentration [PE],Vasopressin Analog [EPC],Vasopressins [Chemical/Ingredient]"
DDAVP,,desmopressin acetate,SOLUTION,NASAL,19780221,,DESMOPRESSIN ACETATE,0.1,mg/mL,"Factor VIII Activator [EPC],Increased Coagulation Factor VIII Activity [PE],Increased Coagulation Factor VIII Concentration [PE],Vasopressin Analog [EPC],Vasopressins [Chemical/Ingredient]"
Lovenox,,enoxaparin sodium,INJECTION,INTRAVENOUS; SUBCUTANEOUS,20080421,,ENOXAPARIN SODIUM,120,mg/.8mL,"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"
Lovenox,,enoxaparin sodium,INJECTION,INTRAVENOUS; SUBCUTANEOUS,19930329,,ENOXAPARIN SODIUM,120,mg/.8mL,"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"
Lovenox,,enoxaparin sodium,INJECTION,INTRAVENOUS; SUBCUTANEOUS,20080421,,ENOXAPARIN SODIUM,150,mg/mL,"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"
Lovenox,,enoxaparin sodium,INJECTION,INTRAVENOUS; SUBCUTANEOUS,19930329,,ENOXAPARIN SODIUM,150,mg/mL,"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"
Rilutek,,riluzole,"TABLET, FILM COATED",ORAL,19951212,,RILUZOLE,50,mg/1,"Benzothiazole [EPC],Benzothiazoles [Chemical/Ingredient]"
